2026-07-14 22:32:48 | INFO | BI | === RUN START ===
2026-07-14 22:32:48 | INFO | BI | project=BI
2026-07-14 22:32:48 | INFO | BI | repo_dir=bintel-03-cleaning
2026-07-14 22:32:48 | INFO | BI | python=3.14.2
2026-07-14 22:32:48 | INFO | BI | os=Darwin 24.6.0
2026-07-14 22:32:48 | INFO | BI | shell=zsh
2026-07-14 22:32:48 | INFO | BI | cwd=.
2026-07-14 22:32:48 | INFO | BI | github_actions=False
2026-07-14 22:32:48 | INFO | BI | ========================
2026-07-14 22:32:48 | INFO | BI | START main()
2026-07-14 22:32:48 | INFO | BI | ========================
2026-07-14 22:32:48 | INFO | BI | Raw data:  = data/raw
2026-07-14 22:32:48 | INFO | BI | Customers: = data/raw/customers_data.csv
2026-07-14 22:32:48 | INFO | BI | Products:  = data/raw/products_data.csv
2026-07-14 22:32:48 | INFO | BI | Sales:     = data/raw/sales_data.csv
2026-07-14 22:32:48 | INFO | BI | CALL a function to load each dataset.............
2026-07-14 22:32:48 | INFO | BI | Loading customers from data/raw/customers_data.csv
2026-07-14 22:32:48 | INFO | BI | Loaded: 201 rows, 4 columns
2026-07-14 22:32:48 | INFO | BI | Loading products from data/raw/products_data.csv
2026-07-14 22:32:48 | INFO | BI | Loaded: 100 rows, 4 columns
2026-07-14 22:32:48 | INFO | BI | Loading sales from data/raw/sales_data.csv
2026-07-14 22:32:49 | INFO | BI | Loaded: 2400 rows, 7 columns
2026-07-14 22:32:49 | INFO | BI | CALL a function to get sales by region........
2026-07-14 22:32:49 | INFO | BI | Aggregating sales by region
2026-07-14 22:32:49 | INFO | BI |   Top region: East ($1,234,686.51)
2026-07-14 22:32:49 | INFO | BI | Returning DataFrame with total sales by region
2026-07-14 22:32:49 | INFO | BI | CALL a function to plot sales by region........
2026-07-14 22:32:49 | INFO | BI | Creating chart: Total Sales by Region
2026-07-14 22:32:53 | INFO | BI | CALL a function to get sales by product category........
2026-07-14 22:32:53 | INFO | BI | Aggregating sales by product category
2026-07-14 22:32:53 | INFO | BI |   Top category: Office ($1,420,376.39)
2026-07-14 22:32:53 | INFO | BI | CALL a function to plot sales by product category........
2026-07-14 22:32:53 | INFO | BI | Creating chart: Total Sales by Product Category
2026-07-14 22:32:53 | INFO | BI | CALL a function to summarize the datasets........
2026-07-14 22:32:53 | INFO | BI | ========================
2026-07-14 22:32:53 | INFO | BI | SUMMARY
2026-07-14 22:32:53 | INFO | BI | ========================
2026-07-14 22:32:53 | INFO | BI | Customers:  201 rows, 4 columns
2026-07-14 22:32:53 | INFO | BI | Products:   100 rows, 4 columns
2026-07-14 22:32:53 | INFO | BI | Sales:      2400 rows, 7 columns
2026-07-14 22:32:53 | INFO | BI | ========================
2026-07-14 22:32:53 | INFO | BI | ANALYST NOTES:
2026-07-14 22:32:53 | INFO | BI | Note any data quality issues.
2026-07-14 22:32:53 | INFO | BI | We will clean data later.
2026-07-14 22:32:53 | INFO | BI | ========================
2026-07-14 22:32:53 | INFO | BI | CALL a function to show charts........
2026-07-14 22:34:38 | INFO | BI | Workflow complete
2026-07-14 22:34:38 | INFO | BI | CLOSE chart windows to continue.
2026-07-14 22:34:38 | INFO | BI | Terminate this process with CTRL+c as needed.
2026-07-14 22:34:38 | INFO | BI | ========================
2026-07-14 22:34:38 | INFO | BI | Executed successfully!
2026-07-14 22:34:38 | INFO | BI | ========================
2026-07-14 22:34:46 | INFO | BI | === RUN START ===
2026-07-14 22:34:46 | INFO | BI | project=BI
2026-07-14 22:34:46 | INFO | BI | repo_dir=bintel-03-cleaning
2026-07-14 22:34:46 | INFO | BI | python=3.14.2
2026-07-14 22:34:46 | INFO | BI | os=Darwin 24.6.0
2026-07-14 22:34:46 | INFO | BI | shell=zsh
2026-07-14 22:34:46 | INFO | BI | cwd=.
2026-07-14 22:34:46 | INFO | BI | github_actions=False
2026-07-14 22:34:46 | INFO | BI | ========================
2026-07-14 22:34:46 | INFO | BI | START main()
2026-07-14 22:34:46 | INFO | BI | ========================
2026-07-14 22:34:46 | INFO | BI | Raw data:  = data/raw
2026-07-14 22:34:46 | INFO | BI | Customers: = data/raw/customers_data.csv
2026-07-14 22:34:46 | INFO | BI | Products:  = data/raw/products_data.csv
2026-07-14 22:34:46 | INFO | BI | Sales:     = data/raw/sales_data.csv
2026-07-14 22:34:46 | INFO | BI | CALL a function to load each dataset.............
2026-07-14 22:34:46 | INFO | BI | Loading customers from data/raw/customers_data.csv
2026-07-14 22:34:47 | INFO | BI | Loaded: 201 rows, 4 columns
2026-07-14 22:34:47 | INFO | BI | Loading products from data/raw/products_data.csv
2026-07-14 22:34:47 | INFO | BI | Loaded: 100 rows, 4 columns
2026-07-14 22:34:47 | INFO | BI | Loading sales from data/raw/sales_data.csv
2026-07-14 22:34:47 | INFO | BI | Loaded: 2400 rows, 7 columns
2026-07-14 22:34:47 | INFO | BI | CALL a function to get sales by region........
2026-07-14 22:34:47 | INFO | BI | Aggregating sales by region
2026-07-14 22:34:47 | INFO | BI |   Top region: East ($1,234,686.51)
2026-07-14 22:34:47 | INFO | BI | Returning DataFrame with total sales by region
2026-07-14 22:34:47 | INFO | BI | CALL a function to plot sales by region........
2026-07-14 22:34:47 | INFO | BI | Creating chart: Total Sales by Region
2026-07-14 22:34:48 | INFO | BI | CALL a function to get sales by product category........
2026-07-14 22:34:48 | INFO | BI | Aggregating sales by product category
2026-07-14 22:34:48 | INFO | BI |   Top category: Office ($1,420,376.39)
2026-07-14 22:34:48 | INFO | BI | CALL a function to plot sales by product category........
2026-07-14 22:34:48 | INFO | BI | Creating chart: Total Sales by Product Category
2026-07-14 22:34:49 | INFO | BI | CALL a function to summarize the datasets........
2026-07-14 22:34:49 | INFO | BI | ========================
2026-07-14 22:34:49 | INFO | BI | SUMMARY
2026-07-14 22:34:49 | INFO | BI | ========================
2026-07-14 22:34:49 | INFO | BI | Customers:  201 rows, 4 columns
2026-07-14 22:34:49 | INFO | BI | Products:   100 rows, 4 columns
2026-07-14 22:34:49 | INFO | BI | Sales:      2400 rows, 7 columns
2026-07-14 22:34:49 | INFO | BI | ========================
2026-07-14 22:34:49 | INFO | BI | ANALYST NOTES:
2026-07-14 22:34:49 | INFO | BI | Note any data quality issues.
2026-07-14 22:34:49 | INFO | BI | We will clean data later.
2026-07-14 22:34:49 | INFO | BI | ========================
2026-07-14 22:34:49 | INFO | BI | CALL a function to show charts........
2026-07-14 22:34:54 | INFO | BI | Workflow complete
2026-07-14 22:34:54 | INFO | BI | CLOSE chart windows to continue.
2026-07-14 22:34:54 | INFO | BI | Terminate this process with CTRL+c as needed.
2026-07-14 22:34:54 | INFO | BI | ========================
2026-07-14 22:34:54 | INFO | BI | Executed successfully!
2026-07-14 22:34:54 | INFO | BI | ========================
2026-07-14 22:35:01 | INFO | BI | === RUN START ===
2026-07-14 22:35:01 | INFO | BI | project=BI
2026-07-14 22:35:01 | INFO | BI | repo_dir=bintel-03-cleaning
2026-07-14 22:35:01 | INFO | BI | python=3.14.2
2026-07-14 22:35:01 | INFO | BI | os=Darwin 24.6.0
2026-07-14 22:35:01 | INFO | BI | shell=zsh
2026-07-14 22:35:01 | INFO | BI | cwd=.
2026-07-14 22:35:01 | INFO | BI | github_actions=False
2026-07-14 22:35:01 | INFO | BI | ========================
2026-07-14 22:35:01 | INFO | BI | START main()
2026-07-14 22:35:01 | INFO | BI | ========================
2026-07-14 22:35:01 | INFO | BI | Raw data:  = data/raw
2026-07-14 22:35:01 | INFO | BI | Customers: = data/raw/customers_data.csv
2026-07-14 22:35:01 | INFO | BI | Products:  = data/raw/products_data.csv
2026-07-14 22:35:01 | INFO | BI | Sales:     = data/raw/sales_data.csv
2026-07-14 22:35:01 | INFO | BI | CALL a function to load each dataset.............
2026-07-14 22:35:01 | INFO | BI | Loading customers from data/raw/customers_data.csv
2026-07-14 22:35:01 | INFO | BI | Loaded: 201 rows, 4 columns
2026-07-14 22:35:01 | INFO | BI | Loading products from data/raw/products_data.csv
2026-07-14 22:35:01 | INFO | BI | Loaded: 100 rows, 4 columns
2026-07-14 22:35:01 | INFO | BI | Loading sales from data/raw/sales_data.csv
2026-07-14 22:35:01 | INFO | BI | Loaded: 2400 rows, 7 columns
2026-07-14 22:35:01 | INFO | BI | CALL a function to get sales by region........
2026-07-14 22:35:01 | INFO | BI | Aggregating sales by region
2026-07-14 22:35:01 | INFO | BI |   Top region: East ($1,234,686.51)
2026-07-14 22:35:01 | INFO | BI | Returning DataFrame with total sales by region
2026-07-14 22:35:01 | INFO | BI | CALL a function to plot sales by region........
2026-07-14 22:35:01 | INFO | BI | Creating chart: Total Sales by Region
